Text,C_Text,label
Thanks nahin bolti bhi toh bhi faraq aur gussa parta bola lekin abhi bhi faraq pardara,thanks nahin bolti toh faraq gussa parta bola lekin abhi faraq pardara,2
"Ab to khushi ka gum hai na gum ki khushi mujhe ....

Behis bana chuki hai bahot zindagi mujhe

OUR WINNER KARAN",khushi gum gum khushi mujhe behis bana chuki bahot zindagi mujhe our winner karan,3
"Gauahar aap every year  bigg mai jaati hai aur aap bigg boss per shak kar rahi hai kisi ki khushi ki mai khush hona chahiye nahi ki itena nagtive comment karena jab shamita n pratik ot mai nahi jeet paaye to  yaha kaise jeet paate 
 teju true winner",gauahar aap every year bigg mai jaati aap bigg boss per shak kisi khushi mai khush hona chahiye nahi itena nagtive comment karena jab shamita n pratik ot mai nahi jeet paaye yaha kaise jeet paate teju true winner,0
"Ab herat se hoti jub mili koi moqa khushi ka
Ye zalim zamana Kia samjhe ga ghum wo jo khud pai na beta
Bhol he na pawn manzar e mayat jo ankho nai dekha 😔💔🔥",herat hoti jub mili moqa khushi ye zalim zamana kia samjhe ghum khud pai beta bhol he pawn manzar e mayat ankho dekha,3
Yehi thumkay ghalti se koi khatoon laga le khushi mein bas,thumkay ghalti khatoon laga khushi mein bas,2
"Zindagi ki yahi reet hai haar ke baad hi jeet hain
Thode aansu hain, thodi hansi
Aaj gham hai to kal hai khushi
Zindagi ki yahi reet hai haar ke baad hi jeet hain…

A lot more success and happiness in your way Queen ♥️..

PROUD OF YOU SHAMITA",zindagi yahi reet haar ke baad jeet thode aansu thodi hansi aaj gham kal khushi zindagi yahi reet haar ke baad jeet a lot more success and happiness in your way queen proud of shamita,2
"I'm very sensitive girl Jada gussa aata hai to
Ladne ke bajae rone lag jaati huun..🥺💜",i m very sensitive girl jada gussa aata ladne ke bajae rone lag jaati huun,2
"😭
Khushi k aansu",khushi k aansu,3
"Kabhi kabhar baithe baith tere khayalo may kho jaata hu .!
Chahe tere baare may sochu ya naa sochu lekin Tera khyaal jhn se jaane nahi deta hu .!
Pal bhar ki udasi ko pall bhar ki khushi se teri yaad k 1 ehsaas se hi badl detaa hu .!
❤️❤️❤️😊😁❤️❤️",kabhi kabhar baithe baith tere khayalo may kho jaata hu chahe tere baare may sochu naa sochu lekin tera khyaal jhn jaane nahi deta hu pal bhar udasi pall bhar khushi teri yaad k ehsaas badl detaa hu,2
"baat karkay, mjhko hansatay thay, Sach mei tum bhi kya ajeeb dost thay. Kya ajeeb dost thay tum..Har khushi mei mjhko awaz dete thay, har khushi mei meri awaz bante thay, koi tum se meri majboriyan agr pochay, tum sab jaan kar anjaan bantay thay. Tum bhi kya ajeeb dost thay.",baat karkay mjhko hansatay sach mei tum ajeeb dost ajeeb dost tum har khushi mei mjhko awaz dete har khushi mei meri awaz bante tum meri majboriyan agr pochay tum sab jaan anjaan bantay tum ajeeb dost,3
Ya Allah mian kuch karein khushi den isko bas ab bri hogayi ae,allah mian karein khushi den isko bas bri hogayi ae,3
"Troops hamari nahe jalli he..Hum log jeet gye hein..Ap log jeet ke bhe haar gye ho!Dimag dono me nahe he toh kheraati jeet se khushi manao..

TATTI CHANNEL COLORS TV
BIG BOSS NALLA SHOW",troops hamari nahe jalli he log jeet gye hein ap log jeet ke bhe haar gye dimag me nahe he toh kheraati jeet khushi manao tatti channel colors tv big boss nalla show,3
bhai mujhe kyu attack kr rhe ho,bhai mujhe kyu attack rhe,3
"Gussa idhar nikali sab ke sab 

TATTI CHANNEL COLORS TV",gussa idhar nikali sab ke sab tatti channel colors tv,2
Aj pata nahi kis khushi ma dil udaas hai.,aj pata nahi khushi ma dil udaas,3
"ye dekhke khushi milti hai mujhe..

""BELOVED WINNERS TEJRAN""",ye dekhke khushi milti mujhe beloved winners tejran,1
Birthday parties ka maja sirf birthday k aaspas k din hi aata hai and mbbs vo khushi bhi chhin li😭,birthday parties maja sirf birthday k aaspas k din aata and mbbs vo khushi chhin li,2
"Tbh...mujhe itni khushi kyu horahai hai ki teja jeet gayi 🤷🤷🤷nt able to find out🤣🤣🤣🤣💪😂😂😂😂😂😂😂😂😂🤦🤦🤦🤦🤦

ASLI WINNER UMAR RIAZ",tbh mujhe itni khushi kyu horahai teja jeet gayi nt able find out asli winner umar riaz,4
Lahoriyon ko jeet hi khushi hazm nhi ho rhi,lahoriyon jeet khushi hazm nhi rhi,3
"Humari aankhun mein pass onay pe khushi k aansu thy
...
Wo sardi ka asar samhjy aur foran joshanda bna laye.🙂❤️",humari aankhun mein pass onay khushi k aansu sardi asar samhjy foran joshanda bna laye,2
Khushi to es baat hai k Karachi apny teeno match haar gea 😂😭,khushi es baat k karachi apny teeno match haar gea,3
"Me to amma jan: ama 70 rupy ki sheet ati hy na khrab krain.
Le amma : tum jo 3 salon sy zaya kr rahi, main ny kbhi kaha
Okay Amma gussa nhi krain. 🤡🤡",me amma jan ama rupy sheet ati khrab krain amma tum salon zaya kbhi kaha okay amma gussa nhi krain,2
"Jo log khushi wale din 
bhi udass hote hain 
Khuda unki udassi ko 
khushi main badle
Aameen ❤️",log khushi wale din udass hote khuda unki udassi khushi badle aameen,4
"Bachi kuchi izaat bhi geyi 🤣

TATTI CHANNEL COLORS TV",bachi kuchi izaat geyi tatti channel colors tv,3
"Yeh fakeshewari se tho acha ap bichukle ko jeetate zyada khushi hoti..
NALLA SHOW BIG BOSS 
TATTI CHANNEL COLOURS TV 
KHAIRATHI WINNER BHEJA",fakeshewari tho ap bichukle jeetate zyada khushi hoti nalla show big boss tatti channel colours tv khairathi winner bheja,3
Oye AEEDI 100 logon k chilane se yeh nahi bol sakte khushi nahi hai .....pori tarah check kr har jaga k poll check kr ...tab kr batain ...wese aap mai bhi koi winner quality nahi thi..,oye aeedi logon k chilane nahi bol sakte khushi nahi pori tarah check har jaga k poll check tab batain wese aap mai winner quality nahi,3
Jeet ki Khushi mein aisi cheekhen Mari Hain k gala band hogya hy,jeet khushi mein aisi cheekhen mari k gala band hogya,2
Chalo ab jeet ki khushi may ghada khao.🤡,chalo jeet khushi may ghada khao,3
